gene,cluster,rank
IL7R,1,1
IGLC2,1,2
MAP3K8,1,3
FGD2,1,4
CD19,1,5
CD8B,1,6
SETBP1,1,7
KLRC1,1,8
FAM30A,1,9
TLE1,1,10
TSPAN13,1,11
PCDH9,1,12
WDFY4,1,13
LY86,1,14
FCRLA,1,15
HLA-DOB,1,16
LAT2,1,17
COL19A1,1,18
HHEX,1,19
PRSS23,1,20
BCL11B,2,1
KLRG1,2,2
PRSS23,2,3
TNFRSF18,2,4
TLE1,2,5
MIS18BP1,2,6
ZBTB16,2,7
PRR5L,2,8
ADRB2,2,9
PMAIP1,2,10
BASP1,2,11
DTHD1,2,12
HHEX,2,13
AC104695.4,2,14
APOBEC3G,2,15
CD19,2,16
AIM2,2,17
LILRB1,2,18
HERPUD1,2,19
MARCKS,2,20
CD8B,3,1
AIM2,3,2
TTC38,3,3
HLA-DPB1,3,4
TBC1D9,3,5
KLRC1,3,6
STX7,3,7
CTSH,3,8
CYSLTR1,3,9
PRSS23,3,10
ENC1,3,11
FCRL5,3,12
DTHD1,3,13
IL18R1,3,14
ARL4C,3,15
FOS,3,16
FGD2,3,17
F2R,3,18
PLEKHG3,3,19
A2M-AS1,3,20
RPS4Y1,4,1
CD83,4,2
WDFY4,4,3
FAM30A,4,4
LILRB1,4,5
HLA-DOB,4,6
CD8B,4,7
SETBP1,4,8
RUBCNL,4,9
PRSS23,4,10
CD40,4,11
GZMK,4,12
FCGR2B,4,13
MATK,4,14
TSIX,4,15
CD19,4,16
TLE1,4,17
FCRL3,4,18
METRNL,4,19
SPIB,4,20
CCL5,5,1
VPREB3,5,2
SWAP70,5,3
LYN,5,4
HLA-DMB,5,5
GAPT,5,6
TCL1A,5,7
FCER1G,5,8
IGKC,5,9
LY86,5,10
ACTN1,5,11
TYROBP,5,12
COL19A1,5,13
TBC1D9,5,14
CSGALNACT1,5,15
CHRM3-AS2,5,16
TSPAN13,5,17
RUBCNL,5,18
WDFY4,5,19
HLA-DRA,5,20
IGHM,6,1
COL6A2,6,2
IFITM1,6,3
FKBP5,6,4
PLAAT3,6,5
CRIP1,6,6
TCEA3,6,7
GIMAP6,6,8
ADTRP,6,9
PHACTR2,6,10
AHNAK,6,11
MT1X,6,12
FCER1G,6,13
LINC00402,6,14
LDLRAP1,6,15
DHRS3,6,16
TOB1,6,17
MT-ND5,6,18
ICOS,6,19
CD5,6,20
MS4A1,7,1
ITM2B,7,2
STOM,7,3
PLCB1,7,4
LRRN3,7,5
EIF4E3,7,6
UBASH3A,7,7
SH2D2A,7,8
GPR155,7,9
PCED1B-AS1,7,10
ERN1,7,11
RGS10,7,12
INPP4A,7,13
LINC00649,7,14
AL121839.2,7,15
S1PR5,7,16
ETS1,7,17
IFITM1,7,18
CEBPD,7,19
S100A4,7,20
XIST,8,1
RPSA,8,2
COX4I1,8,3
RPL37A,8,4
NDUFA1,8,5
HINT1,8,6
RPL35,8,7
RPS25,8,8
LGALS1,8,9
TMA7,8,10
UQCR11,8,11
MYL12B,8,12
CCNI,8,13
RPS24,8,14
FGR,8,15
PTMA,8,16
EFHD2,8,17
H3F3A,8,18
RHOA,8,19
FCRL5,8,20
MT-CO3,9,1
TCF4,9,2
IFITM2,9,3
ATP5MG,9,4
S100A10,9,5
MARCH1,9,6
ATP5MC2,9,7
COX4I1,9,8
PFDN5,9,9
MYL12B,9,10
UBB,9,11
ARPC2,9,12
OAZ1,9,13
MYL12A,9,14
H3F3A,9,15
HLA-DQB1,9,16
UBC,9,17
COX6B1,9,18
RPL36A,9,19
UBA52,9,20
NKG7,10,1
ITM2C,10,2
GNG7,10,3
DGKA,10,4
SPIB,10,5
ALOX5,10,6
BCL2,10,7
TBC1D9,10,8
APP,10,9
ACTN1,10,10
BCL7A,10,11
LINC00402,10,12
PVT1,10,13
AIF1,10,14
MAML2,10,15
BTLA,10,16
COTL1,10,17
CTSH,10,18
ANK3,10,19
UBASH3A,10,20
IGHM,11,1
SSR4,11,2
SPON2,11,3
RPL19,11,4
RPS27,11,5
RPS5,11,6
ATP5MC2,11,7
RPL36,11,8
RPS10,11,9
S100A11,11,10
RPS24,11,11
RPL5,11,12
SERINC5,11,13
PXN,11,14
ITGA6,11,15
RPL28,11,16
FLT3LG,11,17
KLRC1,11,18
RPL26,11,19
RPS3A,11,20
GNLY,12,1
MAL,12,2
ARHGAP24,12,3
NME2,12,4
FTL,12,5
FAM102A,12,6
ATP5F1E,12,7
RGS10,12,8
CCNI,12,9
SERINC5,12,10
HLA-DRB1,12,11
EIF3H,12,12
ATP5MC2,12,13
SMDT1,12,14
THEMIS,12,15
ATP5MG,12,16
NDUFA4,12,17
RPL36AL,12,18
CD8B,12,19
TRAT1,12,20
NKG7,13,1
NCF1,13,2
IL6R,13,3
IL7R,13,4
LEF1,13,5
EBF1,13,6
BLK,13,7
SERINC5,13,8
MYC,13,9
SPIB,13,10
FCER2,13,11
TCF4,13,12
HLA-DMB,13,13
GAPT,13,14
HLA-DRA,13,15
BASP1,13,16
IRF8,13,17
PVT1,13,18
BACH2,13,19
BTK,13,20
GZMK,14,1
CCDC141,14,2
KLF7,14,3
FCER2,14,4
SETBP1,14,5
COL19A1,14,6
RALGPS2,14,7
MAL,14,8
IRF8,14,9
NIBAN3,14,10
FCRL5,14,11
KYNU,14,12
HLA-DMB,14,13
PCDH9,14,14
LAT2,14,15
TSPAN13,14,16
FOXP1,14,17
AFF3,14,18
TCL1A,14,19
FCGR2B,14,20
TRDC,15,1
NIBAN3,15,2
CD79A,15,3
ACTN1,15,4
KLF7,15,5
CCDC141,15,6
FCRL5,15,7
TCF4,15,8
BASP1,15,9
LTB,15,10
BLNK,15,11
NELL2,15,12
COL19A1,15,13
LINC00402,15,14
TBC1D4,15,15
CDCA7L,15,16
FCER2,15,17
SYK,15,18
SWAP70,15,19
TSPAN13,15,20
RPS4Y1,16,1
PALM2-AKAP2,16,2
XCL2,16,3
WDR86-AS1,16,4
HLA-DQA2,16,5
CX3CR1,16,6
DUSP2,16,7
S1PR5,16,8
DTHD1,16,9
PNOC,16,10
SWAP70,16,11
ITGAM,16,12
PIK3AP1,16,13
LINC02384,16,14
GAPT,16,15
CIITA,16,16
KYNU,16,17
SPIB,16,18
PRR5L,16,19
HDAC9,16,20
LYN,17,1
STAP1,17,2
ABCB4,17,3
FAM49A,17,4
BLNK,17,5
ADRB2,17,6
CD22,17,7
PLEK,17,8
MATK,17,9
MARCH1,17,10
KLRD1,17,11
KLRK1,17,12
ZEB2,17,13
FCGR3A,17,14
C1orf21,17,15
PTGDR,17,16
LINC02397,17,17
MS4A1,17,18
RALGPS2,17,19
SYK,17,20
