,original,perturbated_noise0.1_0,upsampled_perturbated_noise0.1_0,downsampled_perturbated_noise0.1_0,perturbated_noise1_0,upsampled_perturbated_noise1_0,downsampled_perturbated_noise1_0,perturbated_noise2_0,upsampled_perturbated_noise2_0,downsampled_perturbated_noise2_0,upsampled_0,downsampled_0,perturbated_noise0.1_1,upsampled_perturbated_noise0.1_1,downsampled_perturbated_noise0.1_1,perturbated_noise1_1,upsampled_perturbated_noise1_1,downsampled_perturbated_noise1_1,perturbated_noise2_1,upsampled_perturbated_noise2_1,downsampled_perturbated_noise2_1,upsampled_1,downsampled_1
0,4,1,,,0,,,0,,,,,6,,,3,,,3,,,,
1,0,0,2,1,2,2,1,2,2,1,12,4,2,1,0,0,1,0,0,1,0,0,1
2,4,1,2,1,9,2,1,9,2,1,3,4,4,1,2,0,1,2,0,1,2,1,3
3,2,2,3,,2,3,,2,3,,23,,0,1,,0,1,,0,1,,7,
4,4,0,1,0,13,1,0,13,1,0,0,2,5,,,1,,,1,,,,
5,4,6,1,0,3,1,0,3,1,0,5,0,1,0,0,0,0,0,0,0,0,8,6
6,0,2,,,3,,,3,,,,,0,0,0,1,0,0,1,0,0,2,2
7,0,2,3,2,2,3,2,2,3,2,36,29,1,0,3,0,0,3,0,0,3,34,27
8,1,0,4,,0,4,,0,4,,8,,2,2,,1,2,,1,2,,11,
9,1,1,0,,0,0,,0,0,,51,,0,3,3,2,3,3,2,3,3,35,13
10,0,9,3,0,8,3,0,8,3,0,61,6,3,0,0,5,0,0,5,0,0,38,11
11,2,3,4,3,6,4,3,6,4,3,41,6,0,3,2,9,3,2,9,3,2,6,0
12,2,1,,,13,,,13,,,,,10,,,0,,,0,,,,
13,4,1,4,2,1,4,2,1,4,2,33,15,1,3,0,17,3,0,17,3,0,36,14
14,2,3,,,2,,,2,,,,,0,0,1,0,0,1,0,0,1,12,0
15,1,1,0,,0,0,,0,0,,4,,0,1,2,6,1,2,6,1,2,0,1
16,1,1,0,2,0,0,2,0,0,2,2,0,0,0,1,0,0,1,0,0,1,3,5
17,1,3,,,1,,,1,,,,,0,1,,8,1,,8,1,,30,
18,0,0,0,,2,0,,2,0,,2,,2,3,0,0,3,0,0,3,0,9,12
19,2,1,4,1,2,4,1,2,4,1,14,4,1,0,0,10,0,0,10,0,0,23,9
20,17,6,3,0,7,3,0,7,3,0,7,7,6,3,3,3,3,3,3,3,3,2,30
21,2,3,0,0,0,0,0,0,0,0,7,5,3,3,3,4,3,3,4,3,3,88,34
22,0,0,1,0,0,1,0,0,1,0,34,0,2,3,2,1,3,2,1,3,2,6,7
23,1,10,,,3,,,3,,,,,19,,,4,,,4,,,,
24,3,3,0,1,0,0,1,0,0,1,14,10,0,,,1,,,1,,,,
25,2,2,1,,5,1,,5,1,,19,,7,1,2,0,1,2,0,1,2,35,6
26,4,1,,,3,,,3,,,,,5,2,2,0,2,2,0,2,2,14,6
27,4,6,4,0,3,4,0,3,4,0,17,2,6,2,0,7,2,0,7,2,0,58,24
28,1,9,,,0,,,0,,,,,0,2,0,1,2,0,1,2,0,12,14
29,2,1,,,11,,,11,,,,,0,2,2,2,2,2,2,2,2,11,7
30,2,3,3,4,1,3,4,1,3,4,26,32,0,1,1,4,1,1,4,1,1,13,21
31,2,2,0,2,1,0,2,1,0,2,62,2,0,,,0,,,0,,,,
32,0,1,,,0,,,0,,,,,1,0,2,0,0,2,0,0,2,6,3
33,1,1,0,,11,0,,11,0,,0,,4,,,1,,,1,,,,
34,1,4,,,0,,,0,,,,,3,,,0,,,0,,,,
35,0,0,0,3,2,0,3,2,0,3,38,2,4,,,1,,,1,,,,
36,1,2,,,0,,,0,,,,,0,0,0,8,0,0,8,0,0,7,0
37,2,5,2,1,11,2,1,11,2,1,3,4,3,3,1,20,3,1,20,3,1,58,16
38,1,2,3,,0,3,,0,3,,7,,1,2,3,0,2,3,0,2,3,1,7
39,1,2,3,2,0,3,2,0,3,2,59,8,3,,,0,,,0,,,,
40,0,0,2,1,0,2,1,0,2,1,5,7,0,3,1,1,3,1,1,3,1,24,21
41,0,0,,,0,,,0,,,,,3,2,,0,2,,0,2,,35,
42,37,1,1,,7,1,,7,1,,24,,3,3,0,4,3,0,4,3,0,74,17
43,2,2,0,0,2,0,0,2,0,0,14,17,0,3,2,0,3,2,0,3,2,51,23
44,2,1,2,0,11,2,0,11,2,0,72,15,1,,,0,,,0,,,,
45,1,1,3,2,0,3,2,0,3,2,13,18,0,2,2,1,2,2,1,2,2,75,36
46,0,1,0,0,2,0,0,2,0,0,10,2,0,3,3,1,3,3,1,3,3,0,1
47,2,6,4,1,1,4,1,1,4,1,2,0,1,1,0,0,1,0,0,1,0,0,1
48,0,0,,,3,,,3,,,,,0,3,1,3,3,1,3,3,1,36,1
49,1,17,,,0,,,0,,,,,2,,,1,,,1,,,,
50,3,2,,,1,,,1,,,,,9,2,1,2,2,1,2,2,1,29,26
51,4,3,,,2,,,2,,,,,0,0,3,4,0,3,4,0,3,36,2
52,0,2,,,1,,,1,,,,,5,2,0,4,2,0,4,2,0,6,6
53,2,9,0,3,14,0,3,14,0,3,42,31,0,,,0,,,0,,,,
54,0,8,2,,2,2,,2,2,,19,,1,,,0,,,0,,,,
55,1,4,4,0,2,4,0,2,4,0,41,2,0,1,1,0,1,1,0,1,1,56,9
56,10,7,,,15,,,15,,,,,5,3,2,5,3,2,5,3,2,22,11
57,2,5,2,1,1,2,1,1,2,1,42,31,1,3,1,8,3,1,8,3,1,0,1
58,4,2,0,0,2,0,0,2,0,0,4,3,1,1,1,12,1,1,12,1,1,7,0
59,4,1,0,1,2,0,1,2,0,1,6,0,1,0,0,1,0,0,1,0,0,41,2
60,4,8,0,,2,0,,2,0,,39,,5,1,2,4,1,2,4,1,2,0,1
61,4,0,,,0,,,0,,,,,2,,,4,,,4,,,,
62,0,0,,,0,,,0,,,,,0,,,0,,,0,,,,
63,0,2,,,18,,,18,,,,,3,1,0,1,1,0,1,1,0,29,19
64,4,11,,,2,,,2,,,,,5,1,2,0,1,2,0,1,2,21,19
65,2,2,,,2,,,2,,,,,9,0,2,0,0,2,0,0,2,1,3
66,0,2,0,1,10,0,1,10,0,1,60,28,1,3,0,0,3,0,0,3,0,6,5
67,0,2,0,2,0,0,2,0,0,2,1,0,4,3,0,17,3,0,17,3,0,20,13
68,0,0,,,0,,,0,,,,,4,2,0,1,2,0,1,2,0,0,1
69,2,0,,,1,,,1,,,,,0,3,0,0,3,0,0,3,0,56,9
70,1,2,4,2,1,4,2,1,4,2,1,1,0,,,4,,,4,,,,
71,3,3,1,3,1,1,3,1,1,3,85,35,0,3,2,4,3,2,4,3,2,39,3
72,1,1,,,6,,,6,,,,,3,0,0,0,0,0,0,0,0,0,1
73,2,2,2,4,0,2,4,0,2,4,33,8,1,0,0,0,0,0,0,0,0,8,0
74,0,2,0,,0,0,,0,0,,17,,5,0,0,1,0,0,1,0,0,12,0
75,0,0,0,4,11,0,4,11,0,4,68,11,2,2,,1,2,,1,2,,24,
76,0,2,2,0,7,2,0,7,2,0,43,79,3,3,0,0,3,0,0,3,0,16,0
77,4,6,4,1,3,4,1,3,4,1,50,4,8,3,2,3,3,2,3,3,2,0,1
78,1,3,2,1,11,2,1,11,2,1,12,9,1,2,2,0,2,2,0,2,2,25,21
79,4,1,2,,9,2,,9,2,,34,,4,0,0,3,0,0,3,0,0,7,0
80,4,8,2,,3,2,,3,2,,61,,5,3,0,0,3,0,0,3,0,50,3
81,2,8,0,,7,0,,7,0,,52,,4,2,1,0,2,1,0,2,1,71,0
82,2,2,4,3,0,4,3,0,4,3,31,3,0,0,0,0,0,0,0,0,0,2,2
83,4,10,1,,9,1,,9,1,,11,,6,2,,10,2,,10,2,,8,
84,0,1,4,1,2,4,1,2,4,1,57,20,0,3,2,12,3,2,12,3,2,29,36
85,4,5,0,0,3,0,0,3,0,0,61,3,3,1,1,2,1,1,2,1,1,64,1
86,1,2,0,4,2,0,4,2,0,4,14,2,9,,,2,,,2,,,,
87,1,1,3,3,0,3,3,0,3,3,4,3,0,,,2,,,2,,,,
88,0,1,,,6,,,6,,,,,4,3,,11,3,,11,3,,10,
89,2,1,,,6,,,6,,,,,1,,,0,,,0,,,,
90,4,9,4,,3,4,,3,4,,28,,8,,,3,,,3,,,,
91,0,0,3,2,2,3,2,2,3,2,31,24,1,,,0,,,0,,,,
92,1,2,0,1,8,0,1,8,0,1,0,2,0,1,1,2,1,1,2,1,1,8,6
93,2,4,2,1,0,2,1,0,2,1,46,12,0,0,2,0,0,2,0,0,2,64,13
94,2,3,4,1,1,4,1,1,4,1,43,11,1,3,0,0,3,0,0,3,0,23,37
95,2,1,1,2,0,1,2,0,1,2,10,1,0,,,0,,,0,,,,
96,0,2,,,0,,,0,,,,,0,2,0,0,2,0,0,2,0,24,3
97,1,8,0,3,5,0,3,5,0,3,1,1,4,,,2,,,2,,,,
98,1,2,,,2,,,2,,,,,9,2,,11,2,,11,2,,5,
99,2,1,2,,9,2,,9,2,,2,,4,1,,2,1,,2,1,,1,
100,1,0,4,2,0,4,2,0,4,2,22,9,0,1,1,6,1,1,6,1,1,32,9
101,1,1,0,2,1,0,2,1,0,2,18,10,0,,,15,,,15,,,,
102,2,1,4,3,1,4,3,1,4,3,53,2,0,,,0,,,0,,,,
103,3,14,0,3,0,0,3,0,0,3,36,29,1,,,15,,,15,,,,
104,0,0,1,0,11,1,0,11,1,0,8,6,1,,,0,,,0,,,,
105,2,2,,,1,,,1,,,,,0,2,2,0,2,2,0,2,2,97,39
106,2,1,3,3,15,3,3,15,3,3,13,1,15,0,,10,0,,10,0,,10,
107,0,1,0,1,0,0,1,0,0,1,6,4,4,2,3,9,2,3,9,2,3,74,1
108,2,6,2,2,3,2,2,3,2,2,29,2,1,,,0,,,0,,,,
109,0,1,3,,3,3,,3,3,,31,,6,,,3,,,3,,,,
110,0,2,0,,1,0,,1,0,,20,,1,,,0,,,0,,,,
111,2,2,1,3,2,1,3,2,1,3,43,11,3,1,0,0,1,0,0,1,0,0,0
112,2,3,1,1,1,1,1,1,1,1,0,2,1,3,0,6,3,0,6,3,0,0,1
113,4,1,1,3,12,1,3,12,1,3,76,11,0,0,0,2,0,0,2,0,0,41,4
114,0,10,3,2,2,3,2,2,3,2,47,22,0,,,1,,,1,,,,
115,2,2,4,4,0,4,4,0,4,4,6,0,0,,,0,,,0,,,,
116,2,3,1,3,1,1,3,1,1,3,50,5,0,3,1,0,3,1,0,3,1,51,1
117,0,0,,,0,,,0,,,,,3,0,0,0,0,0,0,0,0,0,1
